,predictor,Gini coefficient
0,TotalCharges,0.1824106817934721
108,Contract_Month-to-month,0.0399458417404993
115,PaymentMethod_Electronic check,0.030185127793255054
90,OnlineSecurity_No,0.02751196155848797
88,InternetService_Fiber optic,0.026535989850345207
10,tenure_1,0.024218652010934448
99,TechSupport_No,0.02242511856578724
110,Contract_Two year,0.022347047044246036
1,gender_Female,0.018560620901566627
2,gender_Male,0.018330325302542548
96,DeviceProtection_No,0.016894016087397434
93,OnlineBackup_No,0.016753211001623886
87,InternetService_DSL,0.016064948823763945
112,PaperlessBilling_Yes,0.014967737142643074
111,PaperlessBilling_No,0.014537617620694741
84,MultipleLines_No,0.014515235655620178
92,OnlineSecurity_Yes,0.014193518716029151
86,MultipleLines_Yes,0.014134634835073285
5,Partner_No,0.013987903910560828
6,Partner_Yes,0.013938288977628664
101,TechSupport_Yes,0.013738231120878956
107,StreamingMovies_Yes,0.013350888886403142
102,StreamingTV_No,0.01334021486249861
3,SeniorCitizen_0,0.01322737331057248
104,StreamingTV_Yes,0.0129357330728935
114,PaymentMethod_Credit card (automatic),0.012902827390683802
105,StreamingMovies_No,0.012843906775681965
95,OnlineBackup_Yes,0.012824440953725074
4,SeniorCitizen_1,0.012494660394042324
7,Dependents_No,0.012003628288308235
113,PaymentMethod_Bank transfer (automatic),0.011870880704755315
98,DeviceProtection_Yes,0.011868934847474704
109,Contract_One year,0.01167780076551682
8,Dependents_Yes,0.011672766088247086
116,PaymentMethod_Mailed check,0.011592185477729278
11,tenure_2,0.00815351249425596
13,tenure_4,0.007751871970524346
12,tenure_3,0.006931614309858099
97,DeviceProtection_No internet service,0.006461513100285549
18,tenure_9,0.005947260784462399
14,tenure_5,0.005508345126901448
91,OnlineSecurity_No internet service,0.005304958207724865
16,tenure_7,0.005258235763531409
21,tenure_12,0.0050958546353520135
24,tenure_15,0.0050908050218018775
89,InternetService_No,0.004786670372633201
31,tenure_22,0.0047190775830589695
26,tenure_17,0.00459682404020206
17,tenure_8,0.004478217151760119
15,tenure_6,0.004321764161379269
20,tenure_11,0.004186212351145552
106,StreamingMovies_No internet service,0.004150475275309908
19,tenure_10,0.004009198451754006
27,tenure_18,0.00400828971062832
34,tenure_25,0.003785621094400866
22,tenure_13,0.003653672941764093
85,MultipleLines_No phone service,0.0035031237307041004
83,PhoneService_Yes,0.0034548124328507047
25,tenure_16,0.0034296688840027905
82,PhoneService_No,0.003406618116818964
100,TechSupport_No internet service,0.0033448949242254103
33,tenure_24,0.003217169190927901
40,tenure_31,0.0031545254570708578
103,StreamingTV_No internet service,0.0031212468767018377
23,tenure_14,0.0030883188721267203
28,tenure_19,0.0030056374735419624
39,tenure_30,0.0028891816661706982
30,tenure_21,0.0028630817310904937
48,tenure_39,0.00284566185275087
32,tenure_23,0.0027994937870873407
44,tenure_35,0.002767112401178992
41,tenure_32,0.0027612574093979114
50,tenure_41,0.0027427802005553065
42,tenure_33,0.0027059064403710297
47,tenure_38,0.002702424703366727
65,tenure_56,0.0026560713313929832
58,tenure_49,0.0025931406683953138
94,OnlineBackup_No internet service,0.0025912016508202965
62,tenure_53,0.0025616692646622317
67,tenure_58,0.0025471854410360154
55,tenure_46,0.002543246452679667
81,tenure_72,0.0025084054985060767
38,tenure_29,0.002503459395882362
29,tenure_20,0.0024839255077283673
46,tenure_37,0.0024094797023024783
35,tenure_26,0.00239535112211745
51,tenure_42,0.002371238547725787
52,tenure_43,0.0023248721421759103
63,tenure_54,0.0022334320663130827
49,tenure_40,0.002199281936830919
56,tenure_47,0.0021881036153324294
75,tenure_66,0.002184617693501269
74,tenure_65,0.0021804333702949907
43,tenure_34,0.002179073272790059
68,tenure_59,0.002141706899834114
76,tenure_67,0.002085374558432418
70,tenure_61,0.0020470027124184953
66,tenure_57,0.002001240076298478
36,tenure_27,0.0019774163167652543
57,tenure_48,0.001953852250876856
79,tenure_70,0.001864366761524761
59,tenure_50,0.0018608339757546894
64,tenure_55,0.0018574437465583428
54,tenure_45,0.001846000425283459
77,tenure_68,0.0018202508443961101
61,tenure_52,0.0018130266576700212
37,tenure_28,0.0017964553484142544
80,tenure_71,0.0016946816031070725
45,tenure_36,0.0016435611659459668
60,tenure_51,0.0016389864728721857
69,tenure_60,0.001526012206188621
73,tenure_64,0.0012546543138696024
53,tenure_44,0.0012035936764220774
71,tenure_62,0.0011993278927150484
78,tenure_69,0.0011773291394239925
72,tenure_63,0.001067599528137924
9,tenure_0,6.923177534477412e-05
